"business_name","website","industry","city","state"
"A-1 Print & Copy Center","http://a1printandcopy.com","Business Cards","Adamsville","AL"
"24hrs Fast Print & Copies","http://24hrsfastprint.com","Business Cards","Adamsville","AL"
"Kwik Kopy","http://www.kwikkopy.com","Business Cards","Adamsville","AL"
"Kwik-Kopy","http://www.kwikkopy.com","Business Cards","Adamsville","AL"
"City In Motion Print.","http://www.cityinmotionprint.com","Business Cards","Adamsville","AL"
"Main Street Printing","http://www.iicme.com","Business Cards","Adamsville","AL"
